,Mast.cell
ANGPTL3,0.0
AC103923.1,0.0
ATG4C,0.2295145
AC099794.1,0.0
LINC01739,0.0
AL162400.2,0.0
AC096543.1,0.0
AC096543.2,0.0
FOXD3-AS1,0.0016393913
FOXD3,0.0
ALG6,0.09344526
ITGB3BP,0.29509005
EFCAB7,0.036066614
PGM1,0.24426898
ROR1,0.0016393913
ROR1-AS1,0.0
AL445205.1,0.0
UBE2U,0.0
CACHD1,0.0032787826
RAVER2,0.008196957
JAK1,1.0229787
AL357078.3,0.0
AL357078.1,0.0016393913
AK4,0.02459087
DNAJC6,0.0032787826
AL139294.1,0.0
LEPROT,0.79182464
LEPR,0.036066614
AL513493.1,0.0
PDE4B,0.17869353
AL590783.1,0.0
SGIP1,0.04426357
AL139147.1,0.0016393913
TCTEX1D1,0.273778
INSL5,0.0
WDR78,0.009836349
AL592161.1,0.0
MIER1,1.1754416
SLC35D1,0.1409875
C1orf141,0.0
IL23R,0.050821137
IL12RB2,0.008196957
SERBP1,3.1984718
LINC01702,0.0
GADD45A,0.33115667
GNG12,0.027869655
GNG12-AS1,0.0
DIRAS3,0.0
WLS,0.0032787826
RPE65,0.0
DEPDC1,0.06721505
AL138789.1,0.0
DEPDC1-AS1,0.0
AL035412.1,0.0
AL033530.1,0.0
AL691520.1,0.0
LINC01707,0.0
LINC01758,0.0
LRRC7,0.0147545235
AL158840.1,0.0
LRRC40,0.11147853
SRSF11,1.4410226
AL353771.1,0.0
ANKRD13C,0.081969544
HHLA3,0.026230264
AL158839.1,0.0
CTH,0.008196957
AL354872.2,0.0
LINC01788,0.0
AL513285.1,0.0
