,Plasma.cell
ZYG11B,0.06922697
ZYG11A,0.0056848517
AC099677.4,0.0
ECHDC2,0.049922496
SCP2,0.24899833
PODN,0.00092342676
AL445183.1,0.0
SLC1A7,0.000115428375
AL445183.2,0.0
CPT2,0.05029764
AL606760.2,0.0008079984
C1orf123,0.075171396
AL606760.3,0.0045594284
MAGOH,0.22868411
AL606760.1,0.0017891392
LRP8,0.026029257
AL355483.4,0.0
AL355483.2,0.0
AL355483.3,0.0
LINC01771,0.0019911388
AC119428.1,0.0
AC119428.2,0.0052519967
DMRTB1,0.0
GLIS1,0.000115428375
NDC1,0.02617354
YIPF1,0.1379903
DIO1,0.00023085675
HSPB11,0.3031611
LRRC42,0.034253664
LDLRAD1,0.0007214272
TMEM59,2.8085475
TCEANC2,0.03664884
AL357673.1,0.00020199966
CDCP2,0.000115428375
AL357673.2,0.0
CYB5RL,0.011600563
MRPL37,0.094043516
SSBP3,0.070583135
SSBP3-AS1,0.0007214272
AL161644.1,2.8857094e-05
AL035415.1,0.0
AC099796.1,0.0
ACOT11,0.004905714
FAM151A,0.0
MROH7,0.0005482847
MROH7-TTC4,0.0
TTC4,0.02253754
PARS2,0.0049345703
TTC22,0.011831423
AC096536.2,0.0
LEXM,0.0005194276
DHCR24,0.0135340085
AC096536.3,2.8857094e-05
AC096536.1,0.000115428375
TMEM61,0.00028857094
AL590440.1,0.0
BSND,0.0
PCSK9,2.8857094e-05
USP24,0.051047876
MIR4422HG,0.0007214272
AL603840.1,0.0
LINC01753,0.0
LINC01755,0.0
AL353681.1,0.0
AC119674.1,8.657129e-05
AC119674.2,0.00063485594
LINC01767,0.0
PLPP3,0.005886849
PRKAA2,0.0009811409
FYB2,5.7714187e-05
AL360295.1,0.0
C8A,0.0
C8B,0.0
AL161740.1,0.0
DAB1,0.00034628515
AL390243.1,0.0
DAB1-AS1,0.0
AL445193.2,0.0
OMA1,0.07799923
TACSTD2,0.011917997
MYSM1,0.09943896
AL136985.3,0.00023085675
JUN,10.403274
LINC01135,0.0016737109
AL136985.2,0.000115428375
AL136985.1,0.0
AC105277.1,0.004386286
LINC01358,0.03737027
AL592431.2,0.0
AL592431.1,2.8857094e-05
AC093424.1,0.00028857094
FGGY,0.023662997
AL035416.1,8.657129e-05
HOOK1,0.057857938
CYP2J2,0.001356283
C1orf87,2.8857094e-05
AC097066.1,0.0
LINC01748,0.00014428547
AC099792.1,0.0
NFIA,0.01102341
NFIA-AS2,0.0
AC099791.3,0.0
TM2D1,0.18098444
AC099791.2,0.001038855
