,0,1,2,3,4,5
CRYBA2,3.192352355135895,1.4501848310820862,2.4331463851646142,2.017566869061622e-06,2.2887879803350723e-11,3.6489167783049457
FAM201A,5.80563299311904e-11,4.8094632847528975e-11,4.304696742116867,6.52420564726609e-11,3.967651382718315e-11,14.112484747875223
CDC14C,9.274122138790954,3.0757795345249934,2.0008066419088344,0.24993739448771823,2.111238440982151,8.452990731362849e-07
LZTS1-AS1,3.0753480401603217,1.875768463765539,1.9258220812999312,0.5344498604121821,11.946884613404647,5.775323901367707e-11
LRP2,2.0400875064718256,2.635886733247995e-10,0.49562885923378575,0.9558144231160863,9.621682763019886e-11,29.9768923913685
VTRNA1-3,2.2824316919130685,4.3192173877972,4.891881843062163e-07,1.8015407853879009,6.584066762986038,9.026750402308687e-11
GPR133,7.334750628272702e-11,1.2922737862687128e-10,3.103253932084094,11.795954619250148,4.542460799724992e-11,4.632362850916071e-11
NAT16,7.303688949269583,6.429226785334602e-11,5.1354586532342985,8.063429209667056e-11,7.857357806043973e-11,0.7326176028060176
CCR7,2.833694723585111,1.982568665591665,1.1116913071892551,4.385075728455398,4.698756390861676,0.7551533054285411
ABCC6,5.6289189342401085e-11,1.7563528500528465,1.8720427036709062,13.61464078017323,15.630181087014382,4.625361747056351e-09
IL7,5.041398038078347,6.210774713775887,8.784324137420797e-11,2.882499922205777,14.01206666098289,2.245689598483933
ZIC2,1.0146300141417497e-10,7.0794060999978115,1.0012332962873677e-10,5.2882658743877785e-11,10.008931576860075,8.480223277471632e-11
DSCAM-AS1,6.394553092329125,5.780302641106037e-09,3.229011253288065,3.0885177447621497,7.687927368148125e-11,1.4678872586075302
RANBP3L,8.960058167397014e-07,5.962512798761469,5.628916904254345e-06,4.845770160696544e-11,16.361872663739042,9.144882952939038e-11
PMFBP1,11.534698877315728,7.815717554363302e-11,0.6479162423184235,7.153821062608067e-11,8.078708638943106e-11,17.37236097649859
EEF1A2,1.011738895155506e-07,0.3731041202267737,8.19838131488275,6.603489928048299e-07,5.959728408178511e-11,2.2438643878946167
C8orf48,9.98373351475019e-11,4.177181842741993,1.1050316366655633,9.512220598503101e-11,10.408778365487152,20.968388687327398
ATG9B,2.546515255825279,1.3907453187712206e-05,7.240573661343674,8.22815917375154e-11,4.959565543135291e-11,2.042237093876461e-08
PAPSS2,5.544429427265148,3.324721894606544,3.327939891142265,6.135077506335459,1.015084476685226e-06,1.256836275298478
RASGEF1C,3.3576179092484506,7.536577629597513e-11,0.8772440189360572,17.14180165123702,1.098553043032164,6.6730302115562405e-06
PLCL1,10.661560696061498,7.126477252458714e-11,2.1870912184412283,1.109984329518191,9.142445058783963e-11,17.481677992241753
RIPPLY2,3.3401311070769104,5.077477379040511e-10,7.739664956278094,7.696923139064736e-11,3.741256647751829e-11,0.5807388318682795
GALNT3,2.269619609973702,1.808263573685471,3.477435060878416,8.134923906648266,2.966005083349635,2.99310142708004e-07
HOXB3,11.1905563663365,4.019899285700058,8.320086274576554e-11,0.001231849500331805,8.516157698644566e-11,6.120874969574503
LOC643923,1.8221147835000588,6.700991213264852,2.7760848153730926,8.608762495437647e-11,1.294840169068485e-05,5.185775588976705e-11
TEAD2,5.310544857314029,3.018063362136393,3.5057047160351664,6.666385318901939e-11,0.0644686300019042,3.2786904356553874
KAL1,9.923441119588333,4.492974303322454,0.0003173077078530915,8.915586124706333,8.153184636725216e-11,4.54245543034788
NPTX1,0.058481785514012556,6.525253773421741,0.0010414804327214847,2.4182996028275134,6.676055221974475e-11,5.340901626430314
HPCAL4,2.404736473397511e-06,0.03983945808228841,7.209079895166111,9.264989285235427e-11,7.33989176786091e-11,4.883248591579573e-11
FXYD3,3.7411007805753256,1.863075730962797,0.6810610468256465,9.753832776407247e-11,20.888561605818346,3.659258060208831
CRTAM,5.189159618499568e-05,1.4687230480281428,1.8711743064747535,17.329882016076905,0.9938681493309848,1.6623685047376107
PLIN5,8.004464018192662,5.647913366680374,0.35366497378627426,1.1782596055793473,8.518611221639057,3.9485110140401365
CEBPB,7.7219655447624955,4.819048346354228,8.275633401781226e-11,9.936691558203178,3.9832163696768177,8.216893410642551e-11
TGFBR3,2.2305400504103234,7.837017557965438,1.9681451549162625e-07,1.5734670473998913,10.70975616666516,3.405763391207397
PDE3B,7.428037873689398,1.3131093927087224e-08,2.4844862699650063,6.748786844753595,22.194431791626204,2.129590936739083
