,0,1,2,3
ANXA3,2.0883525261608313,3.129440183039158,1.1800348835248192e-19,2.9073192388341365e-58
TEK,9.951870425547564e-10,2.587148079862368,1.4736065617771177,11.724455730923529
WDR49,9.105811583807513e-28,6.577307772855118,1.005228880699001e-05,7.104076963939519e-11
GNGT2,22.344681744676688,0.27983638554246354,4.425316269704761e-18,7.783613574257581e-29
FFAR4,23.379906318636294,0.0004294225385244079,0.0014047389321020251,1.0709166202946364e-10
ABCA6,3.148639078875981e-18,5.522800411417876,1.479921368737223e-08,3.368178554830626
CCDC64,2.63564709951194,0.49060157948760874,2.5997349197003503,9.088605167422998
SST,0.874825158289867,1.3051879130312465e-34,3.8158924800250555,1.8699172997195845e-05
SLC16A10,9.963164773682884,3.113161103899429e-07,3.044422226617988,1.3681394867176984
FEZF1,2.4530867642508957e-38,1.2357789566666897,1.3733466477983547e-28,30.087390410927487
SLC38A4,3.2366332272503553,1.0807981457840494,1.7261975129371656,6.1000234535607065e-06
KNDC1,1.9079701686352923e-24,4.789701950392588,0.0032053666776546983,0.12815240818212117
CNTN4,0.7582615845613427,6.28077754585625e-20,3.5318909347243275,9.528732389001421
MAPT-AS1,7.431586677448228,7.843150320299462e-10,3.0864500037719846,3.4315894872323023
TDO2,4.82843395797196e-59,4.036700335827422,4.037454337180903e-17,2.2942706277985928e-14
TMC8,15.780225877342186,1.4304098820171367,9.21572903881458e-11,1.9895683241221076e-19
EMR4P,22.351205183654937,2.2237332896821094e-11,0.528389303615769,0.00020106697932955356
OAF,1.4196911297341648e-05,5.697142341821191,0.6278898558688993,2.1722454346042467e-37
CLMP,0.17619431173516828,0.7535790190584671,3.392234381857178,5.472173766166657e-09
NFATC4,6.79783496885333e-36,6.21996908888703,2.6516152740958175e-05,0.00020221797173047195
HAAO,20.138276754886807,1.0324017084834813,5.8769152484624205e-06,4.26020359014609e-10
DACH1,3.3506963470444346,0.03500816554029622,3.762940260048072,4.872955137484392
NAT1,21.90167229070635,0.7370541753884543,0.8470617685681715,0.5470359695532024
BTBD11,0.037398188831882825,1.2405220639037204,1.476227368348427,7.159624381317112e-37
TNFRSF10C,7.8175409798138285,4.011570587867804,0.05840531944408208,7.571846111631012
FEZF1-AS1,8.600567299576514e-40,0.37835115380319817,1.6714200704653425e-26,31.89230326606911
IGF2BP1,1.024302896466256e-62,1.0492606271948575e-13,3.391038995597202,1.4053366202728988e-42
CACNA1E,0.0002548324125401059,1.4238766602816776e-28,6.230179178266102,0.00013859866560883438
OTP,1.5324344878312859,0.041568958855187875,3.3633791487198654,15.133529132334752
PKDCC,1.0889998673395737e-17,1.7446271906992363,3.0730312610072503,6.493698694009034e-11
EPS8L2,0.3690168826751167,3.939036859314217,1.9312272833158632,4.4706434816926715
CD79B,9.621476952178392,2.920594978221691,0.013189176056351032,4.328067892807808e-50
HBB,1.2079769657521173e-26,1.129827204090984,2.0526308652151664,1.8092373924910785e-21
HSPB3,3.1914708706790784,0.000906685074209454,1.7100751166425412,7.8513477357631185
RNU12,18.512053884273065,1.5354096358444176,1.1007943732411005,9.835607353135818e-09
IGJ,17.13216354346558,1.0409549729810841e-32,5.024892064302012e-22,8.565169338934261e-45
STXBP6,1.030787892429109,0.7784702267616314,2.136871811376809,10.578339762746607
IL21R,20.311721906482546,0.008604013102571037,0.9663132822888065,8.889973624330364e-07
PPARG,21.891835120106922,0.9837499188946256,3.2763636718132176e-05,5.084070191304291e-12
FANK1,0.06603121879327752,6.0840061492843205,0.6582729375223723,4.99492875140219
PGM5,9.37153820265553,5.520796161887031e-15,2.135970421991083,7.4732402142048135
MT1H,7.911633318243451,1.6147612810932903,1.0481298026825883,0.06261012749494749
TP53TG3D,1.7485891166986342e-70,1.720257446459849e-64,2.9276318162546446,9.080166055392442e-32
LINC00189,1.3350489942038295,1.9365940898378595,2.0005988072769436,4.729051271747331e-16
RGPD2,7.127401914228509,9.293353994501906e-13,3.2523260962539746,8.288991210571531
CYP4X1,1.722518779773254,1.418617660372748e-32,2.2707629376295366,7.3674638259387955e-19
ATPBD4-AS1,1.4767102727194922e-10,4.0472386232980435,2.074332885560055,10.782339461249904
PPL,0.0010399770247120235,3.13857563833672,1.0621806726540872,10.580453854192477
PLA2G7,18.861617079109564,0.03209469644921143,1.0225653427062311,7.410669416533456
TESPA1,13.594496247499396,1.0487118802551274,1.4551624941620911e-07,1.9788584112198026e-28
EVA1A,8.033884701337074e-30,3.876609757763876,0.40157551446670525,0.0016990339422011857
CPNE7,0.02763252329011844,1.0769606483066403,2.3966762965747845,1.0503982518776691e-28
MPZ,2.4882708188764684,1.2443027995670652,1.5805458673757333,0.5670533463599707
C16orf89,3.6053775028418458,4.101350656507106,1.1080913324529005,0.0015141548772768998
LLGL2,8.457377443412744,1.3079501028483782,0.5225233029420563,15.204585093185003
SIRPG,6.742657829408102,2.1513349560398267,1.4635333639455885e-08,0.13910140164889193
BCL11B,7.6688131292341355,0.01960381259254232,3.634494735626482,5.669665162609797
NLRP2,1.7626511092220817e-08,0.0034791774345268723,2.908663170953734,7.018403063812206e-34
SNORD56B,1.906376408774554e-05,4.9703905651461406e-11,3.1005374237349423,4.8191458237085265e-30
CD226,19.20522327036587,0.9037796778777243,0.1818016871658794,2.5484002834196676e-20
BATF2,4.53338871089567,8.345267410034145,2.2355688124563237e-14,5.678806185868686e-29
TMEM74,3.8880704184475983e-17,2.5072662321149375,3.1013292231827805,1.528371523574478
FGF18,3.0344710787933656e-38,3.4475039966881087,1.538057697932914e-14,6.148063164942923e-29
C9orf24,0.6144734508047643,1.119378013896847,2.559721850556823,6.877108472749128
GABRA2,6.420506333266799e-07,9.322280418516602e-19,4.453871188351973,5.256530766670833
CLDN7,19.035353674477253,4.132361322735371e-09,4.335436226688738e-21,9.355129961244141e-42
RGL3,12.527123704324454,4.001985242271907,6.274448853831723e-07,2.9630480264225945e-24
CES1,17.12508611111003,3.420798730748441e-23,0.09692261851541047,4.935414870504847e-35
SNORA26,2.318229475186361,1.2987552045615866e-07,4.292316143349012,5.497541708904464
OR2L13,4.558144337438968e-19,0.5565510761191285,1.1468943526113026e-07,27.94589543250056
C19orf59,13.749098024726953,1.042504317653995e-06,1.4190637778300388,3.7881908385412637
CAMK2A,4.3009058596949945,5.168870862567897,1.2647442439413055,1.4227616789285163e-07
