,0,1,2
HBB,1.750505492361609,5.831728768822146e-29,7.95217546282122e-36
HSPB3,0.7405045066600094,6.806364156059991,2.9745522271509715
RNU12,1.3272929959249014,5.3918916088134126e-18,18.378790115664465
IGJ,1.622884157257292e-33,2.169703242824507e-71,16.787572328770924
STXBP6,1.4960404424179496,7.396036566847724,0.6465597079368521
IL21R,0.5451136303828875,8.518049783618548e-07,20.106841875413537
PPARG,0.320197273740683,2.0294669537110907e-14,22.112188802425663
FANK1,3.2511206780330073,0.6003217492722434,1.1614888315402976
PGM5,0.7962158427534669,7.865317071921787,9.1011436038041
MT1H,1.3175631871786075,1.0548608960080214e-05,7.953117119944516
TP53TG3D,1.2067175565235106,0.9995788716408653,1.6019757003011469e-139
LINC00189,2.1229968409772204,2.1761464116494222e-26,1.2161292409569875
RGPD2,1.045122586108032,10.787773261206464,6.806422783156525
CYP4X1,0.9109018005872257,1.8625752921474465,1.5808232440760333
ATPBD4-AS1,2.926217657799696,7.072005011105149,2.687693501536093e-27
PPL,1.9784241949809418,6.241554850635163,0.0002957873631021483
PLA2G7,0.08939392379002889,7.270694967682071,18.95256920624457
TESPA1,0.287941326735898,4.107557632984704e-38,13.893239428370654
EVA1A,1.9940873251321667,1.332744983978519e-15,1.8484463323888515e-38
CPNE7,1.9188531636752435,5.6730173345201e-20,8.206975686886588e-11
MPZ,1.4096541495142985,1.1918382329768322,2.483357274449242
C16orf89,2.4846131972920884,1.0453506207879142e-14,3.9404987053406955
LLGL2,0.7043171352285181,9.663791781728108,8.447083855982234
SIRPG,0.8691382307854189,2.0666506971397683e-06,7.142115476108089
BCL11B,1.7176221350632492,7.9792965929642214,7.249987217893865
NLRP2,1.7808046904981683,6.67184793851887e-17,3.894064382782167e-25
SNORD56B,1.751573022480906,3.304938839849765e-11,1.7857199238348602e-10
CD226,0.46541420466246286,9.301518405751598e-26,19.159972912246495
BATF2,3.204621356882038,5.696251592438312e-69,6.173438981918048
TMEM74,2.8747202365195133,2.0958687662355793,2.75734651674501e-32
FGF18,1.4297829462032228,1.350152964542046e-50,4.5142516388860466e-36
C9orf24,1.7970858407624775,6.471183886679195,0.0005295303786604774
GABRA2,1.7878828283149806,8.795396716731195,3.851219881265e-21
CLDN7,2.123912560214171e-21,1.721514039097467e-62,18.888577580496296
RGL3,1.5770400312989916,1.2534512119643661e-48,13.029373152673944
CES1,1.6268256933610934e-11,3.0982519520851436e-40,16.82374722556432
SNORA26,1.9928831917916947,8.239139603067175,1.9524061821900622
OR2L13,6.145339034415105e-18,17.40456822199024,2.1014225880584622e-32
