,0,1,2,3,4,5,6,7
LOC100506388,0.008944217515364736,9.079798482757633e-11,1.664046197607502e-10,2.099113720956169e-10,40.05348663936526,2.6424378386405465e-10,1.2547730422263213e-10,12.723857245057358
ODF3B,1.0484596779654495e-10,4.2187210926616495e-11,4.077250109743098,6.887380660433998e-11,5.074847122102266e-10,1.488781636904358e-11,0.008401782662292167,22.857415020811587
DCT,7.143888043389211e-11,3.45304731227119,4.348028596022477,3.051404895239196,3.8801411309401947,6.539150122612984e-11,17.818038263349774,2.450004229271452e-10
GPAT2,2.057196221852355,7.579174660599009,1.8986770090104976e-10,1.7943777878707103,3.6329254911689734e-11,1.0649258438702711,1.0145076889851936,4.328289756457823
ANXA3,2.2878265135909467e-11,1.4656220232207298e-11,7.2303831689364886e-12,3.676373278746627e-12,46.148534684721014,1.8586655272394465e-12,3.884819556714053e-14,3.494032371413114
TEK,0.021007530786873455,8.100217473566327e-11,12.392776906731395,6.619234670479199e-06,2.062716345263199,12.60667919456488,5.936209421895494,9.521022200168451e-10
WDR49,3.0124098433621103,6.615232701305297e-11,0.48798881203885797,1.364215547699396e-10,44.36118414428191,0.01570803765900478,1.2682024273644997e-10,1.381164518068772e-10
GNGT2,0.9582078214743595,6.631066865468439e-11,7.254457682738698e-11,1.0420365066372256e-10,1.6424554579788248e-10,1.0457510396464914e-11,5.4280522117627745,22.68897920961175
FFAR4,1.3056180315249904e-08,1.0130581294548682e-07,0.17693983992642368,0.40381334086539294,1.2183467821323477e-09,4.8557239657410046e-08,8.075682328924293,23.24440275899367
ABCA6,1.8960883291331205,4.213671050558047e-08,1.2252241497508238e-10,4.490830958274277e-11,44.940746396204474,7.255490690873206,4.6620830625038645e-11,6.127345432074714e-09
CCDC64,2.9096829694947274e-11,1.2002204808400727,13.792632633513332,4.1153329176046735e-05,1.3915728576372264e-10,8.117153146537692,9.356694033420932e-11,2.750021919306609
SST,8.664140539441315e-13,9.140664799128796,4.389863537072634,2.0893999230072176,5.77764322744724e-13,3.2090096976189484e-11,5.7537090360805484e-11,1.062412811033491e-10
SLC16A10,4.92876464389472e-10,11.73673792682927,5.286328957791273e-10,1.8673903005416863,5.2072516407820805e-11,1.9991186538079608e-10,14.81790804825334,5.426686778840961
FEZF1,1.901198692309789,6.687040948889276e-12,5.5243887174391984e-11,1.5135322575652963e-11,6.317088896307284e-12,41.710941993343894,2.5759844273326703e-08,2.3403670787908193e-12
SLC38A4,3.083077124315622e-12,3.7513773625275625e-12,16.13744357083645,4.7097465678686124e-12,5.865074036605979,3.080379902025316e-12,7.673860534270224e-13,3.2397613040904276
KNDC1,3.0492878346007504e-10,1.1849559671745264e-10,5.185781661685035,1.401726325519398e-11,44.82752937399422,0.001394581407990254,9.604552197709188e-12,1.0694567260292631e-10
CNTN4,0.7951870030358227,24.58546614196943,7.348580718840194e-09,0.6079663999899937,9.878686510482735e-08,0.012189621089163579,3.855179520678703e-12,1.9701460512430793e-11
MAPT-AS1,3.6797752420686637e-11,9.584258030611206,11.231407149647966,1.107507818983881e-10,1.650336268314036e-11,7.570342314588191e-11,6.507588431175296,3.8701025611480167
TDO2,1.999719671819583e-10,2.0705832857223632e-13,1.0040656610952894e-07,1.0605875672954121e-11,46.02803520424629,1.7508211885226104,9.146630183555682e-14,1.1040236972328052e-11
TMC8,2.635330607545393,5.639456752976013e-10,3.7449619547554485e-11,5.314315083485054e-11,3.3561927152432676e-10,2.551553342352254e-11,3.204273395857862e-11,17.308293052656932
EMR4P,0.07970777000715545,0.5825339801967034,0.02090819809626064,1.0597151642889455,0.0004365262597524975,0.004428914483733145,1.0892059870022642e-10,23.909140004507126
OAF,0.709671103894688,3.6338485407424134e-12,4.126341339887534e-11,1.717286472192631,42.435249961137764,8.405420363775838e-12,10.111684765245577,5.858558779673979e-10
CLMP,2.116191387357053e-11,4.018592530791517,3.807463076357986e-11,3.9102637532399434,12.067630973094264,1.644337583090946e-11,6.99941831686297,1.8698238103142144e-11
