S1,S10,S5,S6,S11,S4,S7,S9,S3,ITTH
TCGA.38.4630.01,1.20842905374196e-06,0.082254104440684,2.82976744318612e-05,0.77785443508614,0.00164525598683057,1.77455015875422e-07,0.138212067903195,1.41476512065982e-06,3.03825952798986e-06,0.311898679566804
TCGA.49.6743.01,0.037587503219517,0.000103378341856243,0.106365959369226,0.58109344137501,0.00104433498529744,0.0835014606590562,0.00771516874814685,5.59771846851277e-05,0.182532776117205,0.564849307738245
TCGA.55.8206.01,0.0394036329130055,0.0145297792576301,0.013951745560655,0.212392377187767,0.43829813516492,0.236718030998436,0.0443203876979282,0.000168024737243169,0.000217886482415001,0.64700193001697
TCGA.MP.A5C7.01,0.142007170101513,0.00999559882866462,0.193346380248795,0.325355142894288,0.195880309790735,0.124118806222086,0.00902004582462991,0.000154792598917829,0.000121753490371754,0.741614189545576
TCGA.49.AARE.01,0.0715813672928682,0.0364590957803563,0.0862073958057847,0.408605588606096,1.6063142905378e-05,9.80868766694266e-06,0.327938564378039,0.00371255063389921,0.0654695656723836,0.660681062588035
TCGA.75.6203.01,0.0940973960641234,0.0379093352768898,0.0246555788590985,4.96662277930379e-06,0.639775944300269,0.149836654653882,6.42170947383152e-06,0.0536440521156227,6.96503978616339e-05,0.530509664410785
TCGA.86.7955.01,0.0272314071842395,0.0274740037580273,0.25148818688731,0.524164132294497,1.74050424420281e-05,0.0144604843987649,0.0401536561980414,0.00211364955006603,0.112897074686612,0.606416658385058
TCGA.49.6744.01,0.00444305369123022,0.0423807828927812,0.0656845823298771,0.166334147853421,0.24497280051321,0.267955701838914,0.165116193029062,0.00927869398920349,0.0338340438623002,0.813798154685749
TCGA.95.A4VN.01,0.00011442962963697,0.0203565368604149,1.22863743781521e-05,0.224438270840813,4.32780030819351e-05,0.327307130028434,0.193624906937691,0.000203969634267462,0.233899191691283,0.655938955485332
TCGA.55.7576.01,0.000705121831911481,0.0314237084570424,0.000578443696852965,0.305725552489795,0.0461682552361468,0.284816606791029,0.238797080770284,0.00943520139962612,0.0823500293273124,0.715338691539107
TCGA.53.7626.01,0.00445335413189294,0.0294665287022312,7.93208625347679e-06,0.00974280481699418,0.109326694081274,0.827095886823159,0.00837951966426119,0.0114997258504416,2.75538434925724e-05,0.302148381549211
TCGA.97.7546.01,0.000995308899290621,0.00819429892272564,1.0859715527363e-05,0.172050803539115,0.442197319987226,0.376527763238901,4.95672756369248e-06,7.72051519409337e-06,1.09684544573137e-05,0.490647848795769
TCGA.44.7672.01,0,0.0531582051061907,0.128816831202153,0.210755370338832,0.00738956366288394,0.164749508816917,0.327202778132083,0.00689536681907736,0.101032375921862,0.779603590390777
TCGA.62.A46O.01,0.0379143975256154,0.0308443804422281,0.150207719018405,0.567197085496236,1.58311584172007e-05,0.0572397804435004,7.18687052309708e-05,0.00394006661714229,0.152568870593225,0.596669278649505
TCGA.55.6984.01,0.0103117687582677,0.0369111069789495,0.0852923622913094,0.101098607254271,0.0410307538438223,0.166036196247363,0.00210909336861445,0.35044527234572,0.206764838911683,0.794685255255224
TCGA.97.8174.01,0.256523049602248,4.78952568187906e-05,2.38878447768306e-05,0.0232639886481448,0.35817639025058,0.346567967637844,0.000189897198255966,7.83674536400926e-05,0.0151285561076914,0.563441127036389
TCGA.35.4123.01,0.00130321527526974,0.275718290372613,0.00065664692488502,0.00176836192882836,0.000529885610180378,0.0562541739743705,0.40658944623558,0.00192844915029484,0.255251530527978,0.579052181918927
TCGA.93.A4JO.01,2.96829945048488e-05,0.0440250283627427,1.59807383757644e-07,0.311153257631584,0.0962404165421947,0.276056095534959,0.260758166664648,0.00414975432341779,0.00758743813856561,0.679028130953333
TCGA.97.7937.01,2.66872013885545e-05,0.0140180523059756,0.00363628557843064,0.328612778095744,0.0964447082840953,0.278399739502028,0.269477661496222,2.46461498586034e-05,0.00935944138625754,0.648602064777768
TCGA.50.6597.01,0.0468164523061364,0.0702692699058934,0.120260623379028,1.90536332370338e-05,0.0286827231952463,4.09530494880051e-05,0.729070666875194,0.00472229017940011,0.000117967476377062,0.42957187653111
TCGA.99.8033.01,0.0879298799312316,0.0211993255794852,0.139110936347061,0.249739241104903,0.000224525374905183,0.140640055294231,0.0163718403649845,0.000533028872518352,0.34425116713068,0.743003426968393
