S5,S6,S1,S2
SPSB1,255.315601944293,1350.01234584394,491.200488615043,1708.23181171573
MRPL14,314.665527282302,260.313408763677,6272.35388018957,754.770658132413
HSPA12B,2.56376628359419e-10,1120.43841269503,0.00194348203415975,1454.65809569381
PSMB9,826.983508185457,52.1671559925235,98.1528474232359,1.98194802200144e-08
CSGALNACT1,2400.24642339538,418.080920970936,0.246559526807504,645.047539156904
RBM16,942.052247543447,2028.37439391123,8.2604327353618,334.879083504384
GOLGA8A,737.803094136931,1516.37470147697,1455.0750154688,0.0347250705299572
NPTXR,1453.34151421005,1100.61240539921,1979.6528019342,7.69235266659379
GPR116,842.860562347246,1152.6209994875,1.82456353308481e-05,2042.96318341284
AGTRAP,49.9661980023964,62.7929704686214,3919.78405381344,104.846429402588
CYTH4,0.177923437645181,6.32218410788591e-06,1793.15976066404,7.48300792550816e-05
CHST2,154.115167872665,1603.81998963512,1467.5138231847,0.0407277709736834
RPL9,361.719736737623,400.214073394659,6875.62700882539,323.53845471264
ST3GAL4,720.525388173712,1053.22578195083,2144.16791437397,1553.10217503584
RAB21,876.941332820074,1375.41659979362,8.76581410921571,883.14828431544
ABCC9,2247.33651409556,746.70504040272,1.56394170196568,609.325053487913
KDR,552.910519597059,1509.94251170861,3.31405784599861e-05,2012.37751045418
C12orf51,1464.39087322201,1767.17176057176,0.189640962481435,95.8836542177993
GPR125,954.121476993885,2221.6012479584,2899.04802826549,74.5315615224238
FAM83D,2269.52464173596,516.288354085064,0.222485688914853,602.489790511955
ROR2,1803.27942929393,696.956648067314,1897.55077025815,5485.87374220419
TMEM54,1710.73796746763,132.012479833333,3217.93539086555,0.157349343148187
DCLK1,670.734589497404,1315.44145041674,5.66422279038522e-09,331.703122458067
ST6GAL1,1928.22992715806,458.877432069128,7.55476334676364e-07,14.1194982739274
EBF1,518.256798743668,1747.07977188756,2.16884257871066,3.80877425746447
PTP4A3,1540.98981822112,1053.12011333778,2315.55415781461,537.756883232841
FAM126A,643.448876875667,1897.94822801144,1.37417869017547e-05,793.208065339034
MSC,345.693279390581,480.492187089705,814.898629472385,1290.58958072196
SLC4A7,2025.83919539164,1004.57918364669,3.66835885160786e-05,0.00297019638704598
SELPLG,0.371846566812,6.75686348274886e-07,1107.500936236,1.56593898280386
BTG3,1955.76523386653,1090.28619428043,1173.86967742735,417.963814875808
ABLIM3,831.055938774249,1011.012658727,4.31873843115392,0.0303084932550512
TUBA4A,2247.14720804623,69.3195256197788,1683.78403318525,3.96337409735574e-06
BTBD3,303.649047626102,2172.77850611467,0.14750873851548,1019.49778498025
MRPL12,432.838792203593,354.467535583667,8239.99617824044,447.477626399093
SMCR8,1918.56714402016,1264.32247213067,0.24246063954767,266.090905855448
RNASEH2C,1498.42623638719,103.860953149488,9273.75632432303,367.546893625059
LSMD1,600.315368017818,21.3938862533228,7972.46703471753,13.1368286957123
ABCA2,1771.49312087669,1043.8452403753,3654.01501614393,45.1675597970145
TK1,251.30477760231,1198.63977979234,3190.44017880311,12.8592210518712
FAM100B,389.490306977075,306.716322466105,5419.29037615278,410.744450107192
PLXNA2,1398.29805006479,1486.246853413,112.213806302565,2461.30712559202
ELL2,1872.63276097757,200.696203900578,173.309234513931,3024.81224780617
HMHA1,337.648636523864,54.0432255120011,727.085465194031,0.0573397486384249
CDK19,767.64531957173,1422.85240821359,95.0812907498368,1078.46018383244
BAI2,1422.0406633757,876.109648216583,3859.74282342559,1.74064881231926
MTUS1,1666.46521845659,1437.42458243756,0.021147411759449,1777.80001977942
