S9,S5,S1,S8,S4,S3
CX3CR1,366.167402589568,1131.66928726746,6.76257163889416e-05,0.270174306660516,178.591438724095,5.79578101029086e-23
FCGR2B,395.762791672318,984.757029941361,170.822680107822,648.284726305206,336.619505841123,1.18033250098411e-05
LOC84856,365.478525512441,366.83895363448,182.495940753073,161.256247062595,0.981858792433154,4188.13927039001
UPP1,308.510447665322,144.041471312897,677.941896813465,2.02486453509506e-12,1998.86595325697,1215.41673985887
CRMP1,1012.93246953284,216.248414809222,384.760337300232,2132.97982796453,1.44942280761107e-12,0.0447050521669996
NFATC4,548.689118309909,386.21200943562,6.73707924239077,2781.41465343982,2640.14059652803,2.65815928678098e-10
SNCAIP,369.628365069508,780.796730097826,157.951453900004,779.132022906883,789.802786050437,3.69159737843078e-17
OLFM2,1273.67786773347,857.717049056149,20.7908485788093,1824.57250063802,374.384922480337,0.0508545127969156
HERC3,2.35001376987783,285.846952876237,1807.77165389403,9.37718745838161e-05,1.47204441745904e-09,19.7877548377496
MYO6,15.3279238894319,618.075236702973,1064.24276634461,644.974060932271,3.90243422433246,5.99289556198365e-16
PLCB1,4.73288491850638e-07,559.614819744487,391.88845947884,747.957061989872,5.51476349721808e-12,808.349488169397
SGEF,0.447506430989491,443.765976865053,1031.28607927438,2.66413086619735e-08,995.352088831072,1.26729236779339e-15
TSHZ3,922.326502714053,351.71642200954,2.05511795190709,2204.30766210205,255.147829059185,7.45369912539673e-06
QPRT,1.75702305652472,1355.25961876528,3.84405634138332e-10,1715.58558550136,709.029818225959,135.086442484701
ADAMTS15,3.5923596796356e-07,484.041684222143,1955.67131726138,3.59099419081624e-11,4.14972703761681e-19,59.3968782799495
WNK4,0.00145442373659676,929.389363316586,502.40601293148,2.91655387713533e-26,5.6266404844447e-22,4.46046242544039e-12
C16orf48,1724.3143223484,382.913990420526,376.045916399451,0.000250330630879741,4928.13160778885,1373.84118716337
NBPF10,3.05746096769562e-11,353.18255159714,917.173140570853,2672.31449379642,8.55118399378902e-29,2.43976034392892e-23
PTPRG,1.50421734555288e-12,54.2055292078362,232.802557847692,2050.2714307131,1.47262745601567e-25,1.23264179226886e-17
MAST4,0.611511460125289,843.995256178476,609.895839926324,303.632248733574,18.316411698577,3.41587408870061e-21
NCRNA00219,3601.28345835049,2.51714395897157e-13,1.47652452328744e-06,477.794376255386,677.692294112094,3.88324300370418e-08
SMURF2,2.65396842862659,463.51865317109,985.10705428271,681.005840700165,0.288593738141945,6.27049299988984e-19
CSGALNACT1,156.246739007403,1384.17055504269,320.290907761436,6.35843584958799e-18,267.831605897063,3.37361333397822e-19
