S5,S2,S1
LPAR6,113.69126843728,233.656745717526,3.6572815323378e-13
ALDH6A1,396.616726953929,1.37933117447052e-17,960.996197450779
ELMOD3,241.586593301524,579.181796458853,890.635828092966
AFAP1,279.832420911915,127.237531219825,329.263317850899
LOC642852,597.39726370206,686.341469681913,645.623387013462
NSUN5P2,461.406075461519,1573.67243162882,256.736311665355
AASS,454.858387279606,404.802281309622,932.54465792048
GALK1,681.470751779266,374.143593845886,1.45485991724686e-05
MGMT,0.104417582427813,1545.72819064244,1.69967401332688e-07
MYO1E,274.412506801858,0.0194042242685867,643.994999236803
POLR1E,94.69626428757,1278.63885364135,438.789520019266
PLCE1,209.556803162182,8.70629445990628e-13,576.208217506364
C4orf33,87.3210777334497,355.13046854651,904.415361148707
LYN,106.687002297704,175.637326616502,83.1060443650367
DOCK10,139.4680398224,1324.12063780808,1.73653958175675e-06
MAST4,515.670429556198,2.21589885055565e-15,486.283703686387
SMYD3,1024.27498906763,0.511842437435127,0.00466599045741026
MLF1,740.19893223838,454.924807135767,450.937526754655
ZNF462,993.805476017243,287.630934342309,885.60404284677
FAM82A1,628.530861564893,417.740460954586,195.566724071154
C15orf52,283.468944817704,0.00157397216085074,499.217928101126
RHBDF2,232.110537075772,0.199659338999772,135.753716737134
C6orf145,10.5634979331821,892.459728901568,0.0503827977109325
LOC100130776,328.599177030678,1052.61409444231,55.1441858660495
KLHL3,340.719232402328,283.757890513684,392.477699883841
C5orf41,624.41928430053,1.98752874453575e-16,804.859965949781
ZBTB7C,1180.34195623128,0.153362070427477,111.650923263078
WASF1,185.857690213963,711.183656090354,362.959329285166
L3MBTL3,1126.46796880319,4.08938415656241,545.158356817563
CCDC28B,74.7407785995201,1481.66952207431,20.5694620386607
TNFSF12,370.719217374316,402.606776259937,6.2467409013358e-10
PRKCH,228.185376391162,149.845390374559,591.322468103164
SMAD7,780.088991832312,429.678233075573,368.091418586978
SYDE1,763.803888390371,962.591043879641,70.7460586886951
MOSC2,206.461916964381,166.079303830862,647.182780767623
CDC14B,1139.80670811948,56.6170230368774,387.154916574382
PLA2G6,566.397231475374,1004.82682748187,105.830143083812
NEDD4L,272.919061167806,227.787256707548,393.409374524161
AKNA,196.840965669398,188.196395213677,128.023482440425
FGD4,1.39336503261313e-08,0.0352176241927829,684.746564674165
USP21,543.730118253695,637.369657324965,621.534918179342
HOXB2,502.574166666251,477.531620212986,444.340615089432
HHEX,489.298358790312,917.25448460282,399.679055189846
DOK1,171.243943499791,11.9558550475634,0.0930524297539658
GAB2,832.979766015393,388.527627486264,377.32086972819
CBX6,518.802472303315,5.7541587657964,301.58928391732
TMEM22,618.189796734901,91.5071784064002,824.132078891851
CRELD2,385.881720064838,133.107825577837,567.454683807091
HEXDC,445.880338875139,1192.23278333079,489.05537674071
FKBP11,312.840730819654,832.894162558915,86.1224348911869
CDCA4,0.0765866319713265,816.922385043192,378.387171767962
RAB32,0.00185104694384603,41.5559111250494,186.459210567169
ZNF703,605.894644177282,231.453667942795,450.153993308132
CCBL2,864.944576896213,442.224809975534,458.665174129444
ARHGEF10L,363.01883300454,0.000448932739533976,518.076282578403
KAT2B,592.696723466208,0.00622932644257171,295.500088025469
KIAA1467,209.772615915354,2.4582200888516e-15,1083.46542682825
GALNTL4,486.725366779164,391.126227301641,161.608409638719
ZNF580,110.254574474078,1747.0849079022,329.715384606635
MAD2L1,369.28648859628,347.180632986274,517.044360099265
MYT1,3.34035014979525e-05,687.285571301864,245.800370574716
CACHD1,1336.15800210894,81.2756314117227,310.336790410969
NCAPG2,757.403486569606,346.381937371089,310.031507392711
ATAD3B,251.094358069149,1043.94870001665,245.922500271839
ZNF737,1.61308358020814e-06,851.163604524574,917.970365194012
CHML,1166.09523984724,4.23006884708935e-09,8.39461401046986e-05
SDF2L1,266.111873671293,155.945792312201,113.332431138686
CPNE2,204.506873997991,475.698276468384,215.285668111539
ARHGAP29,603.350975907645,2.39128277890826e-09,0.165435927061037
B3GALNT1,583.74594527781,618.180415113814,181.429955511352
