S6,S5,S2,S7,S9,S8
CADM1,2243.92102155283,4693.74040062062,4954.21689438024,8219.8272412601,1674.24393517301,0.0681938060002918
MGST2,1220.5789544165,4103.01207234641,5234.27624044916,14704.7368306491,2670.08203048969,5929.81680417818
ROBLD3,1876.09467740986,16.369264963581,2639.15207644352,17425.776782048,0.545426724620939,8751.04610948021
SEMA4G,2732.73624534847,2726.45251577755,913.064308618399,5425.0659353699,9127.60824398649,224.277934107125
H2AFZ,4001.67884250969,6.02162913391208,1507.40042077052,13.3707003989599,638.906851472505,9844.0882695567
TNS1,2279.61129317078,4592.98903273227,240.288544009648,0.0195573967042675,2630.31139545854,0.0495787501497607
PECR,2642.41845393314,6399.72413265628,5616.69215444082,2997.67914363798,3475.59719727064,114.084480336806
CGNL1,3203.82095649255,8549.24884963249,1656.20680785712,1381.97126255906,1003.7960620283,25.9636918625379
SLC3A2,2787.74284319597,774.699395373207,5562.96594245664,4363.8931349352,191.052608893775,7216.64271522959
PIK3AP1,3516.91044908972,1803.32281838613,1620.13730495636,1091.52940073913,1798.79151606981,0.165003399472805
HTATIP2,3778.62737675682,86.3278883123525,4710.57861174249,3925.01482433877,0.135359433109261,1381.26059479678
C19orf43,1394.91661855322,2574.13842703042,455.524585572999,13449.553431346,644.838287187592,13804.1269189369
PRKDC,3522.54196183761,279.263514540055,2806.39882407856,1.73476147040986e-05,4174.11973753198,2438.04658629085
PXMP2,1628.53043283581,7773.95424617476,996.258820905162,10630.7037019378,0.00442119447228244,3608.23204711964
PLOD2,3983.62434837879,3.05759207615059,1758.37313205699,1.11694693976126e-09,2585.21474035776,1228.53734659771
PLXND1,1383.25740840786,1292.54751189437,181.265533202373,2616.15300638131,3859.64529204011,2164.59857083238
LRP10,3094.87366566222,1523.54300529538,117.629277916486,1595.65207220447,55.571942971334,5078.98934055993
HSD3B7,3327.58918463169,2961.02523161741,2031.02892196234,8077.60901768621,0.0514048991513464,2978.42646483586
POLD2,2972.57652087672,4285.14927189766,2188.85909704821,3296.40971015027,192.52895907722,12488.162365086
SYMPK,2010.50368541707,1734.15757720789,1941.47456486836,2421.53296622139,3025.00548613365,10281.6791182736
KLF15,2697.13308132057,6340.01409599348,4228.29685846291,4277.13594341857,2751.41820279683,1.14734588235995
NDUFS7,1555.12535332995,1982.47817977802,1204.81892303956,14413.0162713785,3.61737102119606,8259.84234376267
RDH10,3078.34315146207,1129.67794324649,223.509189300244,3797.28079656321,4316.84525797364,1.37087544318815
COX5A,2287.86945958862,2195.36380314332,808.137768860802,12485.8640607649,1670.97203797655,9492.88454195
PMVK,2661.46695490835,430.111616931746,3572.02856215243,13537.0419326778,19.0320697826571,10111.6708041195
NME4,2115.77940995377,187.05194079416,1977.04360643966,5867.8109860338,2321.04345499505,5732.60057608928
DGAT1,2100.33390049688,1531.14325922351,820.012960221076,5096.05144499506,758.652543289244,7683.01727154339
MAP4K4,3774.00787304121,530.007460855028,3045.64951808391,235.324195043621,7510.86650450354,1073.4668005727
SMOC1,746.020476028635,6791.59842896702,3745.08908886444,6894.20871125764,3648.09993315891,3356.30438358536
DECR2,2767.2090628189,2481.05998094193,4753.26260266491,11540.5506640072,120.820787256963,3308.91180244716
UQCR10,1857.67799088684,1880.08742408089,1288.31714232699,13602.6485672853,42.6188226423247,12181.2885394483
DDAH1,4535.26995262956,5297.19538246349,1195.9892874898,989.803811818246,1697.26464140354,926.316308465344
PDE4DIP,3390.75834533636,4680.48198162438,2375.92496748368,2567.49970548853,5.54959683023004,0.00620928780743275
AGFG2,2347.21568453083,930.680141147169,6162.99708720133,4581.80193844942,3665.50907672728,5350.52135664815
CIB1,1545.43139829825,2134.65297549122,1810.35652316901,12077.3464572011,1.35494206835459,11105.5396729348
KLC4,2775.33283228271,6376.88886198118,2904.76174230957,4838.4938005918,1738.69588835566,2959.70250308076
TFRC,3597.09709171774,916.776469823049,992.450497039334,0.0561647540153156,1369.82261717144,2537.28968519963
HSF1,1709.47519795298,1.38561941377555,2441.36119795004,861.091430367241,2078.74643550047,11362.907147579
VAMP8,1627.03226248504,1405.49362839091,0.0470292641118582,10308.4028956684,59.6624442261044,10246.2286604356
SCRIB,3019.51956602117,0.376156007596984,2419.34904377432,1.35520786203924,2667.83132748815,6903.24087330722
UQCRFS1,1546.17695242501,3351.84388881428,709.195816499887,11087.813266349,3081.39748521088,6832.00937306087
PNRC1,668.416645825994,5855.9446728809,1622.44883454121,1048.33898048357,3915.20130623619,59.2452292349418
KANK1,1563.51504045923,4423.59153494308,6759.01632234893,0.00119255098041457,5671.69996715407,5.38686361710509e-05
DNAJC3,3578.4983811552,3567.26044462757,2755.93602831701,720.301623208649,3652.34901399045,0.0336435887786413
C6orf145,1721.13522342691,5497.7614674459,4554.42865818331,1214.85138743563,2816.63330420445,997.268643635297
AIG1,2262.54320785356,5340.49797817734,2877.33642045037,11982.7250739796,3749.08153422011,2592.9221811277
MTHFS,2898.26198644117,6385.92352990927,0.0199049102992144,8097.92853921249,703.768215145166,1410.66382102882
FARP1,2546.16466296898,1175.66202544661,2022.25335343449,2537.27616711629,5198.13529043787,3249.85508069768
CCDC56,2127.22428822434,14.1961416008856,2600.17049384876,10241.4010260568,584.962715641256,9645.84464169743
PSMB6,824.340522490011,1869.70396556943,1137.63213257682,12475.022453437,1289.41660665551,10163.3116948564
CR2,22.0534193600168,4.61617564024193e-31,3.36516797858312e-35,5.10494335059991e-22,72.410875873778,5.32504347378326e-19
SOX2,1.21874636805759e-20,8.60550801252225e-32,1.42085435376414e-20,1.42545645785086e-32,0.000317648404878685,54.1739610609103
UNC5D,4.94472225243639e-30,31.2759892829853,11.3472190492301,3.84738385218439,34.7920444745226,2.06043923917228e-28
TRIM54,3.13621382106387e-14,4.55412786710856e-43,133.796992640148,1.7837824378363e-26,7.64161274769556e-25,116.397495960997
HIF3A,2.85014840365786e-15,4.85493483431338e-07,0.408929580919109,1.50457351075731e-25,1.74725018477697e-11,619.373029980895
CHST8,1.0753310831524e-34,1.93381287238346e-17,1.75855162142845e-41,13.3210181997628,99.1296500631692,2.82978476731333e-24
KCNN4,28.0112598851782,0.000244777216511057,8.93841747697594e-09,0.29225989584134,9.8185082589115e-07,55.1300827133489
HSPB2,2.96413895801105e-13,8.50085679199965e-07,1.91094748152679e-21,97.8087734537961,1.43898285516964e-15,0.000989644664790022
FREM1,1.13167417256034e-09,2.00890796825665e-28,4.15663905028378e-28,2.56173615925643e-40,57.2476141248908,95.8899787098902
GPRIN2,5.64417123469204e-21,1.4065905129324e-43,6.03138339369631e-45,7.05376285998379e-38,8.37971863125278e-30,3.51402595223414e-16
GRHL2,3.27109679443304e-20,3.41176901298851e-37,1.24388884030448e-41,1.0620997423081e-32,1.4369282841004e-08,9.40941617570344e-07
STAR,2.114974839115e-29,1.67303138444356e-24,7.77072489844071e-25,4.22716383689631e-17,293.181202016375,1.36835370433612e-27
GAST,39.8261282616036,3.63097403484039e-43,6.00221810985124e-69,3.66702749188547e-51,1.02303487334464e-14,87.551149516926
ODZ3,1.79072183921271e-36,1.70313110804433e-37,1.4255141013034e-08,1.81213936682249e-38,2.25111461676688e-26,5.5095822646995e-28
TNNT1,2.46244875204094e-27,2.8581706143742e-53,1.23167794686149e-35,2.99770999906811e-25,7.23328287926983e-44,414.55303306099
KCNJ10,6.99713028519331e-17,5.85806370159627e-24,94.5064936170631,1.37598143338217e-27,260.991467645726,47.4189824840959
RYR2,81.2976978355694,2.08050249922754e-06,4.51001842554019,3.23352567067711e-24,80.3835685538234,8.99213514378543e-14
ZNF469,4.61096791065621e-13,1.78916783748691e-06,4.08288169219057e-21,1.04097652758152e-11,2.62646429685054e-12,3.44361436444455e-05
CRYBA2,3.13051699392938e-70,6.02830252324307e-81,1.89590088352027e-62,1.57950828755162e-47,1.56099452572843e-64,1.15191576705655e-37
SLC6A3,1.85094124452457e-39,1.91174178487634e-51,1.69391898809465e-55,1.25832689199061e-26,3.65312065786509e-09,2.38406558200511e-17
KIAA0319,1.75025998667308e-35,8.66385334777248e-41,9.07382162033858e-30,4.14912197605608e-42,2.50700891423364e-44,2.30193807071717
CRISP2,0.000112792229161151,1.41428974511892e-42,1.43202933512437,2.94252395747367e-13,7.87918444492887e-07,155.924409435264
MGAM,85.9942502622432,6.10018122548121e-17,1.30269419688909e-35,3.70725952718437e-23,0.109844416089755,1.54092386764188e-11
ZPLD1,72.7916083627164,1.9889956907751e-11,1.74120438762059e-28,3.51435965097535e-39,7.22505827985829e-20,2.89693762711598
TWIST1,1.00395652459158e-43,6.97210156425321e-47,5.34591684544063e-49,1.05578402581374e-44,3.02401535798117e-29,3.29739953386883e-14
LGALS12,4.71753640541002e-38,7.8563549537359e-58,7.03035714827557e-62,4.97608971097488e-63,1.00672957657571e-65,3.39005789301123e-32
FAM70A,25.2680211871696,1.94090560120772e-08,34.8026883002871,4.65023604867902e-26,26.0077429354142,7.09101588447462e-17
MCOLN3,143.007110348595,1.85616335620977e-25,1.22530314943709e-38,1.38860768561231e-36,4.42413836018324e-09,5.31227679783565e-10
CDH22,3.81442154561393e-34,4.8594727055128e-26,541.586489182791,1.36302854165039e-20,5.41013206333562e-21,0.000737382957734667
LHX2,41.5890702449779,12.389441964387,27.746365203901,2.20656458789944e-17,2.48556650418968e-24,4.50808013276523e-19
SLC22A4,2.62893962023174e-18,0.211685498411577,563.234680346187,0.0506748648874058,5.40765311181606e-18,1.69327065978012e-11
TIMP4,2.90754851763442e-30,3.45724264924672e-19,3.37616988839303e-21,1.13228873365979e-35,9.33132145350612e-31,6.07254451573343e-15
FGF17,21.9098635644015,1.76188115953093e-24,4.81835047119769e-16,2.83570288840995e-29,1.12611794260915e-21,105.912662061977
NPY1R,8.44078077608521e-18,190.806728429914,0.138513987636466,5.61519553317101,45.5498839397699,6.59936849267136e-15
LGALS9C,82.5736816892404,8.90444244103101,2.08274413238733e-26,305.536994754942,62.8679165168587,3.24227130975683
