S3,S6,S5,S2
ITGA1,326.60934734124,188.665658203434,325.279951145408,0.761474708306258
RGL1,319.938903397764,718.783862309312,183.307077729366,257.241489855571
MYO1F,111.459104970939,278.828529871241,91.314217635608,175.949954121854
CD34,317.179546711054,411.074257437529,30.1615935658587,241.839555152446
RAB4B,515.650776095399,560.857730413828,1359.38614094372,754.472074463223
PRRG4,889.53791964592,145.698142958883,479.374912587268,1620.69630282224
EPN3,896.163236996762,513.828431411092,26.5479183818321,1641.45172814209
STAT5A,119.195789300462,650.469504108668,274.794317110845,299.988986075608
ATL3,223.911904576929,323.034287840124,2179.02936047846,1065.37553722876
BIN1,345.400310164309,520.994328903844,994.051677735332,0.0757162992298557
REEP3,291.5490097164,386.715493854876,1790.55034673916,726.931817282041
NIPSNAP3A,582.385044932708,387.868203922768,2510.01667963346,312.3081641465
KIAA1609,388.992280272814,180.533468658974,1128.13279340073,1473.68116342746
RAB40B,1035.52022993282,628.867095352544,189.29823127777,501.680311272495
WDR90,362.939448045825,1119.09454249295,3.64105053246956e-06,618.940684339885
GPD1L,422.530474349634,563.310888021558,373.359152008482,985.488080338495
RNF168,1253.98894933901,444.486139142932,3.20170022680256e-08,525.076208806889
NDUFA7,780.262714954105,529.099276647652,2429.85168668812,735.920536307775
NR1H3,233.514464556418,282.596620032999,2287.431353471,0.785810543864572
CROT,84.5467001730585,559.358572442201,338.221165768723,1244.67451989151
FAM83B,1080.60057031953,273.129079123683,6.92846120191986e-07,966.104542392399
DOPEY2,329.761685503696,886.926869034908,1.44219463473977,783.677634924734
NFATC4,146.846148863201,939.638015655979,5.68799145206224,8.66371339249972
ETNK2,1139.02221329426,549.737082317559,1063.77095479598,527.631734984147
FDXR,635.400118908129,623.132111386435,972.105378621982,1513.95535582785
LCP2,163.476804666825,297.742057623253,1025.30887998827,23.8400474206488
CHML,678.639604632467,973.566401476207,113.305534880554,72.4915835792573
SGK223,551.565785182162,410.747122480935,7.75902443872116e-05,1091.7366241305
ARHGAP18,260.988923197247,257.419244898862,1593.26964830133,112.759313330452
USP18,248.359576569784,709.068375733971,995.728733177043,105.695621294111
GMNN,744.663828244273,696.912746707926,2872.64316812189,171.916630863622
SSH2,839.671833611068,672.206936588664,0.000319687476359515,234.59908796413
PRKCZ,117.020051559764,766.080537522161,213.60802466928,1160.86368639737
CASP1,264.856202687891,255.873727319925,1929.19623361799,1146.7132937134
RPS26,602.688487856319,452.834013995902,3019.13496191468,674.416532978745
ZNRF3,709.94376720713,924.914025989282,1.99745545721339,158.921037967858
NFKBIL2,337.668074330531,1190.34002360745,0.00123285719811698,751.700267573921
MAN2A1,450.327955923349,354.034323222717,263.899997416263,626.332606293504
SNAPC1,631.282460100842,361.960719459963,1153.98664640745,1219.28793093438
GPX8,291.04735149744,236.909792823836,1978.65910858956,107.863581824881
TLR2,357.66086586418,76.4978373505928,863.397282347483,758.180020766569
C15orf29,724.319990380392,444.830249176178,1682.89861611524,543.892601334284
ZNF83,17.2698364619993,842.939726164368,235.880449727994,418.517348992353
PAPOLG,717.460210428775,679.976953484799,1374.53542282766,237.926457407697
C8orf59,331.686675595392,612.64264554024,3455.43216729032,594.439601448954
UBE2T,794.422857116833,655.925253490264,2774.53121456005,66.9080091664598
PLXDC2,398.820450557652,240.291410244442,115.583716752645,183.20061802685
VSIG10,1100.07376851101,534.708209101445,128.711304081031,0.00559771278833716
ARHGAP31,192.632985900792,506.866384256767,0.0986104494977417,31.9112661110961
PPAT,702.025890561342,850.421699364621,1051.36616219441,241.252894454546
ZNF32,483.904101270097,625.121481950034,2773.38121044831,537.003089942032
CHTF18,399.78326714613,1062.14966297247,0.00101763201965558,669.341734915638
MTP18,590.012396117858,462.710437772172,2516.22645730726,286.342118231947
CD302,268.568922956565,351.932754723775,1268.44998886807,26.713413801823
CCDC64,731.017639792776,605.405299942155,3.28312359789436,916.187949805619
IFI27L2,395.366164008894,159.593377365173,2020.22408434407,1187.96745235254
C6orf108,684.524580313271,680.69479827212,1774.23923093645,456.884249072217
C19orf12,526.468578719778,595.941797380758,1069.41609390223,103.789006878062
HAUS5,567.660391651138,1162.99801046454,36.1065573227389,359.112652193606
ABCA7,110.709699479184,691.837042238617,1.63714682028035e-05,783.242208724192
ARAP2,597.631903357269,426.578874452001,0.00845297151317577,1209.56232086452
