S1,S3
SLC2A4RG,2206.18211743517,6825.80658052819
ITGAL,428.233366572605,3686.02688666519
TUBA1C,1298.62109080191,8276.66305057358
NDUFS7,867.108014051681,13189.5567502436
LMNB1,588.188499961361,6.69822734252738e-05
TRAPPC1,423.355638351943,10322.4845689685
C17orf49,644.729333647133,12570.4719083546
NOMO1,3987.73081163046,3401.01424240222
SHFM1,1587.45469051222,10738.1034522891
PNMAL1,3472.85488301142,327.800515071549
C20orf3,4056.95809800464,2168.84500516671
CREG1,5094.02758938778,5135.73778201614
DYNLRB1,1423.92352088031,13892.939276221
PPDPF,2313.3555831694,12501.9505439311
TPX2,0.0991533979569301,1210.44842963473
LBH,909.95874276875,0.0423357355740655
WHSC1,1093.35837682255,0.125133644656407
PHLDA3,3395.96283374112,8851.15313301554
RXRA,4259.20551329433,2386.05290232055
MDM4,1068.24415343351,0.00014829183290409
MCM5,911.104112207807,7051.87821828142
MVP,3221.43114983248,11344.0198967789
COX6A1,1487.33311098261,10796.3502335577
DDX39,187.61135792247,5823.08234725091
NCAPD2,1451.00315923164,6.58840362979695
AKR1B1,3205.25471052614,3836.89109157419
STMN3,1459.92333112354,7324.20118323712
C11orf2,1603.7728154924,11737.5970018228
DNAJB2,2544.88842889019,12235.2532766713
TNRC18,5280.98220284435,354.578728830137
C19orf53,864.516482311839,11145.2371422144
NXN,4147.09377406822,6483.26554536312
KIAA0922,844.892690573986,1112.36268066085
PHB,2198.1424959757,12953.1482606352
TXN,1193.81374100018,8368.58827489598
STXBP2,736.936591754246,8848.78909455238
GSDMD,1336.48765992634,12079.2697171426
LYPLA2,2617.89695699952,8436.69442749194
ZFAND5,4295.37531809098,1225.77830471302
LETM1,229.093555565403,4161.99885567181
EIF6,1696.12682622365,12833.4784676481
SYTL1,2585.62825686113,9641.14297589307
SHC1,4417.53446109461,2812.66610534755
ATP6V0E1,2760.29158468352,10961.7872493133
PSMB6,1158.24482160411,10481.1808712513
LRPAP1,4269.17048002582,6691.51275856735
CCDC72,857.696268646333,9149.70640435317
CDC25B,1083.64519093832,7613.19547639258
AKNA,998.850886248585,1442.33780080723
KREMEN1,3937.12244029195,152.393013850944
SF3A2,2071.59699084418,9087.64628005641
SMARCD2,2352.31303040821,8656.82146715101
SMC4,1259.86201098396,0.00123645822519631
SFTPA1,2.30619479690314e-13,738.414619828141
PPP1R1B,305.311834619023,3637.11141639717
C7,669.220870337997,335.225923555433
PRELP,430.544562944142,1303.23745178459
GPR64,1183.06089771036,6.27064655460942e-13
HAGHL,0.224796134606861,5493.09823318288
B3GNT7,1694.37270645224,2.04234103627394e-15
IGF2,1212.29911740174,273.942413758348
CXCL10,1146.48041773626,857.359780656465
TMEM163,806.736879519296,929.862118690415
SAA2,1055.07792632017,2221.56683781031
KRT36,0.00032396217501903,2508.47053427768
MAP2,810.966905470352,0.00383403157279034
DSG1,332.212537792037,4.39891348320339e-05
COL11A1,1419.60240475653,7.51274079177306e-21
HKDC1,0.000364130546504733,1277.77263146674
VASH1,1319.51145154345,202.232771655225
C8orf84,1680.90487631968,2.12076166258384e-19
DYSF,480.914044617383,1140.4980616427
COL9A2,1694.95767608912,760.273009608253
F3,1747.45208564403,7.28647421764899e-17
LGALS7,0.0482536146026031,1734.14621847498
CD5L,259.605898682301,1.99660749509819e-07
RAPGEFL1,755.486992686008,2864.24751883907
PROM2,1516.57151428197,1481.43768567344
ANGPT2,1274.58694274532,2.17221846495736e-09
C11orf83,0.669605512827676,7071.2650311269
CCL20,496.491149410598,1432.45007782501
NCRNA00176,338.94437054121,6200.51994288328
DPYS,508.546323055635,5.87254950512051e-10
HPGD,744.038762874538,0.0719592517219683
LOC285629,0.000427708617859585,1816.51311809261
MYBPC2,309.323176386426,3897.69369988565
TP53I3,743.559328476902,2235.9186200635
THSD4,1762.89925119176,1.7548094561011e-17
TPSB2,581.997713118811,2832.93045627795
RGMA,1361.8191982369,7.91122719317696
CDC42EP1,727.246564748745,3042.32729079118
FAM195A,11.6924772347962,5974.96063571819
HR,610.669218597455,1402.97178135979
SOX9,1520.77212761339,1.14865862085966e-13
LAMC2,1498.82015962048,367.967094194631
